ID,Category,Name,Link,Image,Shape,Description,Ingredients,Alert,Portion,Nutrition Facts,Claims,Featured,Order,Large Image
4515,Tostitos® Chips,Tostitos® Bite Size Rounds Tortilla Chips,https://www.tostitos.ca/products/tostitos®-bite-size-rounds-tortilla-chips,rounds-bite-size.png,Rounds,"<p>Try this. Grab a Bite Size Round, dip it into some Tostitos<sup>®</sup> salsa, and pop into your mouth. Fits perfectly. They&#39;re just like Tostitos<sup>®</sup> Restaurant Style tortilla chips, only smaller and round. Made from premium white corn, Tostitos<sup>®</sup> Bite Size Rounds tortilla chips, are a versatile snack. Each chip delivers a hearty crunch and a light burst of flavour, topped off with a touch of salt. Serve up your Tostitos<sup>®</sup>; tortilla chips with a savoury Tostitos&reg; salsa for a crowd-pleasing snack experience.</p>","Corn, vegetable oil, salt, calcium hydroxide.",,Amount per 50 g serving (40 chips),"- Calories | 260 
- Fat 13 g | 20 %
 -- Saturated 1.5 g | 9 %
 -- + Trans 0 g 
- Cholesterol 0 mg | 0 %
- Sodium 200 mg | 8 %
- Carbohydrate 32 g | 11 %
 -- Fibre 3 g | 12 %
 -- Sugars 0 g 
- Protein 4 g 
- Vitamin A |  0 %
- Vitamin C | 0 %
- Calcium | 4 %
- Iron | 6 %
","Source of Fibre
Made With 100% Whole Grains 
No Artificial Colours, Flavours or Preservatives
No Cholesterol
Gluten-Free
",0,1,rounds-bite-size.png
7076,Tostitos® Chips,Tostitos<sup>®</sup> Hint of Jalapeño Tortilla Chips,https://www.tostitos.ca/products/tostitos®-hint-jalapeño-tortilla-chips,triangles-jalapeno.png,Triangle,"<p>Tortilla chips with a dash of jalapeño!</p><p>Add a bag of Tostitos<sup>®</sup>Hint of Jalapeño flavoured tortilla chips to any social gathering or party for an instant hit!&nbsp;</p><p>These crispy, premium white corn tortilla chips are lightly seasoned with a touch of spice in every bite for the perfect, authentic flavour experience. Enjoy on their own, or pair with your favourite queso and salsas for even more flavour!</p>","CORN, VEGETABLE OIL, SEASONING (CORN MALTODEXTRIN, SALT, NATURAL FLAVOURS, DEXTROSE, JALAPENO PEPPER, SOUR CREAM, ONION POWDER, TORULA YEAST, SUGAR, SPICE, YEAST EXTRACT, WHEY POWDER, GARLIC POWDER), CALCIUM HYDROXIDE.",CONTAINS MILK INGREDIENTS.,Per 11 Chips (50g),"- Calories | 260 
- Fat 13 g | 20%
 -- Saturated 2 g 
 -- + Trans 0 g |10%
- Cholesterol 0 mg | 0%
- Sodium 240 mg | 10%
- Carbohydrate 33 g | 11%
 -- Fibre 3 g | 12%
 -- Sugars 1 g 
- Protein 3 g 
- Vitamin A | 0%
- Vitamin C | 0%
- Calcium | 6%
- Iron | 4%
","Source of Fibre
Made With 100% Whole Grains 
No Artificial Colours, Flavours or Preservatives
No Cholesterol
Gluten-Free
",0,1,triangles-jalapeno.png
4522,Tostitos® Chips,Tostitos<sup>®</sup> Hint of Lime Tortilla Chips,https://www.tostitos.ca/products/tostitos®-hint-lime-tortilla-chips,triangles-lime.png,Triangle,"<p>Tortilla chips with a twist of lime! Add a bag of Tostitos<sup>®</sup> Hint of Lime flavoured Tortilla Chips to any social gathering or party for a zesty treat. These crispy, premium white corn tortilla chips have a splash of lime taste in every bite for an extra bit of zing. Perfect for dipping, perfect for sharing - just perfect any time.</p>","Corn, vegetable oil, seasoning (corn maltodextrin, salt, sugar, natural flavours (contains natural lime flavour), dextrose, sour cream, corn bran, whey, parsley, yeast extract), calcium hydroxide.
",Contains Milk Ingredients.,Amount per 50 g serving (11 chips),"- Calories | 270 
- Fat 13 g | 21 %
 -- Saturated 2 g | 10 %
 -- + Trans 0 g 
- Cholesterol 0 mg|  0 %
- Sodium 230 mg | 10 %
- Carbohydrate 33 g | 11 %
 -- Fibre 3 g | 12 %
 -- Sugars 1 g 
- Protein 3 g 
- Vitamin A |  0 %
- Vitamin C |  0 %
- Calcium |  6 %
- Iron |  4 %
","Source of Fibre
Made With 100% Whole Grains 
No Artificial Colours, Flavours or Preservatives
No Cholesterol
Gluten-Free
",0,1,triangles-lime.png
4511,Tostitos® Chips,Tostitos<sup>®</sup> Low Sodium Rounds Tortilla Chips,https://www.tostitos.ca/products/tostitos®-low-sodium-rounds-tortilla-chips,rounds-low-sodium.png,Rounds,"<p>Each 50g serving of Tostitos<sup>®</sup> Low Sodium Rounds tortilla chips contain 25% less sodium than Tostitos<sup>®</sup> Rounds tortilla chips. These bite-sized chips pack an incredible crunch, and lightly salted flavour making Tostitos<sup>®</sup> Low Sodium Rounds chips a perfect snack with your favourite Tostitos<sup>®</sup> salsa or dip.</p>","Corn, vegetable oil, salt, calcium hydroxide.",,Amount per 50 g serving (40 chips),"- Calories | 260 
- Fat 13 g | 20 %
 -- Saturated 1.5 g | 9 %
 -- + Trans 0 g 
- Cholesterol 0 mg | 0 %
- Sodium 140 mg | 6 %
- Carbohydrate 32 g | 11 %
 -- Fibre 3 g | 12 %
 -- Sugars 0 g 
- Protein 4 g 
- Vitamin A |  0 %
- Vitamin C |  0 %
- Calcium |  4 %
- Iron |  6 %
","Source of Fibre
Made With 100% Whole Grains 
No Artificial Colours, Flavours or Preservatives
No Cholesterol
Gluten-Free
",0,1,rounds-low-sodium.png
4508,Tostitos® Chips,Tostitos<sup>®</sup> Restaurant Style Tortilla Chips,https://www.tostitos.ca/products/tostitos®-restaurant-style-tortilla-chips,triangles-restaurant.png,Triangle,"<p>Experience the taste of authentic Tostitos<sup>®</sup> Restaurant Style tortilla chips, which are deliciously crisp, light tasting and made with premium white corn. These tasty tortilla chips are the perfect dip delivery mechanism. They have an authentic taste that enhances the flavour of a wide variety of dips and salsas. Ensure your next party or get-together is one to remember by serving Tostitos<sup>®</sup> Restaurant Style tortilla chips.</p>","Corn, vegetable oil, salt, calcium hydroxide.",,Amount per 50 g serving (12 chips),"- Calories | 260 
- Fat 12 g | 19 %
 -- Saturated 1.5 g | 9 %
 -- + Trans 0 g 
- Cholesterol 0 mg | 0 %
- Sodium 210 mg | 9 %
- Carbohydrate 34 g | 11 %
 -- Fibre 3 g | 12 %
 -- Sugars 0 g 
- Protein 4 g 
- Vitamin A | 0 %
- Vitamin C | 0 %
- Calcium | 6 %
- Iron | 4 %
","Source of Fibre
Made With 100% Whole Grains 
No Artificial Colours, Flavours or Preservatives
No Cholesterol
Gluten-Free
",0,0,triangles-restaurant.png
4514,Tostitos® Chips,Tostitos<sup>®</sup> Scoops!<sup>®</sup> Tortilla Chips,https://www.tostitos.ca/products/tostitos®-scoops®-tortilla-chips,scoops-tortilla-chips.png,Scoops,"<p>Shaped like little unique bowls, these crunchy tortilla chips hold salsa like no other chip. Their fun and convenient shape makes it even easier to dive into your favourite Tostitos<sup>®</sup> salsa or dip! Just load them up and pop into your mouth. Wonderfully delicious and light tasting, they&#39;re made from premium white corn. The champion of dippers! So pass the Tostitos<sup>®</sup> Scoops!<sup>®</sup> chips and let the fun begin!</p>","Corn, vegetable oil, salt, calcium hydroxide.",,Amount per 50 g serving (23 chips),"- Calories | 260 
- Fat 12 g |19 %
 -- Saturated 1.5 g | 9 %
 -- + Trans 0 g 
- Cholesterol 0 mg | 0 %
- Sodium 210 mg | 9 %
- Carbohydrate 33 g | 11 %
 -- Fibre 3 g |12 %
 -- Sugars 0 g 
- Protein 4 g 
- Vitamin A | 0 %
- Vitamin C | 0 %
- Calcium | 2 %
- Iron | 4 %
","Source of Fibre
Made With 100% Whole Grains 
No Artificial Colours, Flavours or Preservatives
No Cholesterol
Gluten-Free
",0,1,scoops-tortilla-chips.png
4510,Tostitos® Chips,Tostitos<sup>®</sup> Multigrain Rounds Tortilla Chips,https://www.tostitos.ca/products/tostitos®-multigrain-rounds-tortilla-chips,rounds-multigrain.png,Rounds,"<p>Tostitos<sup>®</sup> Multigrain Rounds tortilla chips are made with the goodness of four grains: corn, buckwheat flour, whole oat flour and whole wheat flour. Pour a bag of Tostitos<sup>®</sup> Multigrain Rounds tortilla chips, with your favourite Tostitos<sup>®</sup> salsa, or serve them up as nachos and watch your guests make them disappear.</p>","Corn, vegetable oil, corn starch, whole buckwheat flour, whole oat flour, sugar, whole wheat flour, toasted corn germ, salt, calcium hydroxide. ",Contains oat and wheat ingredients.,Amount per 50 g serving (34 chips),"- Calories | 260 
- Fat 13 g | 20 %
 -- Saturated 1.5 g | 9 %
 -- + Trans 0 g 
- Cholesterol 0 mg | 0 %
- Sodium 200 mg | 9 %
- Carbohydrate 33 g | 11 %
 -- Fibre 3 g |13 %
 -- Sugars 1 g 
- Protein 3 g 
- Vitamin A | 0 %
- Vitamin C | 0 %
- Calcium | 4 %
- Iron | 6 %
","Source of Fibre
Made With 100% Whole Grains 
No Artificial Colours, Flavours or Preservatives
No Cholesterol
",0,1,rounds-multigrain.png
4523,Tostitos® Chips,Tostitos<sup>®</sup> Multigrain Scoops!<sup>®</sup> Tortilla Chips,https://www.tostitos.ca/products/tostitos®-multigrain-scoops®-tortilla-chips,scoops-multigrain-tortilla-chips.png,Scoops,"<p>What came first, the chip or the bowl? Either way, Tostitos&reg; Multigrain Scoops!<sup>®</sup> tortilla chips combines them both perfectly! With every light tasting bite, there&#39;s a whole lot of wholegrain goodness from corn, buckwheat flour, whole oat flour and whole wheat flour! Serve these multigrain tortilla chips at your next gathering. Whether it&rsquo;s family Mexican food night or a game night with friends, there are plenty of Tostitos<sup>®</sup> Multigrain Scoops!<sup>®</sup> chips to go around!</p>","Corn, vegetable oil, whole brown rice flour, whole buckwheat flour, sugar, toasted corn germ, salt, natural flavour, calcium hydroxide. 
",,Amount per 50 g serving (21 chips),"- Calories | 260 
- Fat 12 g |18 %
 -- Saturated 1.5 g | 8 %
 -- + Trans 0 g 
- Cholesterol 0 mg | 0 %
- Sodium 220 mg | 9 %
- Carbohydrate 35 g | 12 %
 -- Fibre 3 g |12 %
 -- Sugars 2 g 
- Protein 3 g 
- Vitamin A | 0 %
- Vitamin C | 0 %
- Calcium | 0 %
- Iron | 4 %
","Source of Fibre
Made With 100% Whole Grains 
No Artificial Colours, Flavours or Preservatives
No Cholesterol
",0,1,scoops-multigrain-tortilla-chips.png
4516,Salsa and Dips,Tostitos<sup>®</sup> Roasted Garlic Salsa,https://www.tostitos.ca/products/tostitos®-roasted-garlic-salsa,Salsa_garlic.png,Salsa,"<p>For all the garlic lovers, this Tostitos<sup>®</sup> salsa includes lots of deliciously roasted garlic in addition to vine harvested tomatoes, onions and jalapeño peppers. Enjoy it with Tostitos&reg; tortilla chips or use it as a topper for your meat, fish or eggs! Bring out the dip and break out the fun by placing several bowls of Tostitos<sup>®</sup> Roasted Garlic Salsa dip around the room at your next party.</p>","Tomato puree (water, tomato paste), diced tomatoes in tomato juice (contains calcium chloride, citric acid), jalapeño peppers, water, onions, salt, vinegar, roasted garlic, dehydrated onions, garlic powder, flavour.",,Amount per 30 mL serving (2 tbsp),"- Calories | 10 
- Fat 0 g | 0 %
- Cholesterol 0 mg | 0 %
- Sodium 260 mg | 11 %
- Carbohydrate 2 g | 9 %
 -- Fibre 1 g | 3 %
 -- Sugars 1 g 
- Protein 0 g 
- Vitamin A | 2 %
- Vitamin C | 2 % 
",,0,1,Salsa_garlic.png
4524,Tostitos® Chips,Tostitos Cantina<sup>®</sup> Extra Thin Tortilla Chips,https://www.tostitos.ca/products/tostitos-cantina®-extra-thin-tortilla-chips,triangles-extra-thini-cantina.png,Triangle,"<p>Get ready for Mexican food night at home with Tostitos Cantina<sup>®</sup> Extra Thin Tortilla Chips. Thin and crispy chips, perfect for serving warm with your favourite salsa. Also ideal as a side dish with tacos, burritos, and fajitas; create a family sized platter of nachos or a nacho bar for an authentic cantina-style dinner. Enjoy these chips as part of your favourite Mexican meal.</p>","Corn, vegetable oil, salt, calcium hydroxide.",,Amount per 50 g serving (26 chips),"- Calories | 250 
- Fat 14 g | 21 %
 -- Saturated 2 g | 9 %
 -- + Trans 0 g 
- Cholesterol 0 mg | 0 %
- Sodium 190 mg | 8 %
- Carbohydrate 28 g | 9 %
 -- Fibre 3 g |12 %
 -- Sugars 0 g 
- Protein 3 g 
- Vitamin A | 0 %
- Vitamin C | 0 %
- Calcium | 4 %
- Iron | 2 %
","Source of Fibre
Made With 100% Whole Grains 
No Artificial Colours, Flavours or Preservatives
No Cholesterol
Gluten-Free
",0,1,triangles-extra-thini-cantina.png
4526,Tostitos® Chips,Tostitos<sup>®</sup> Multigrain Roasted Red Pepper Tortilla Chips,https://www.tostitos.ca/products/tostitos®-multigrain-roasted-red-pepper-tortilla-chips,triangles-multigrain-red-pepper.png,Triangle,"<p>Meet Tostitos<sup>®</sup> Artisan Recipes<sup>®</sup> Grilled Red Pepper &amp; Tomato Salsa tortilla chips. This one-of-a-kind taste made with a blend of 9 delicious grains and the flavours of grilled red pepper and tomato salsa. Crunch them up to make a crispy coating for herb-crusted salmon, or mix them up with onions, celery and chicken stock to create a sensational stuffing.</p>","Whole white corn, vegetable oil, wholegrain blend (whole wheat, whole triticale, whole oats, whole rye, whole barley, whole millet, whole buckwheat, whole brown rice), seasoning (salt, sugar, tomato powder, corn maltodextrin, spices, vegetable oil, onion powder, red bell pepper, sour cream, roasted bell pepper, skim milk, sundried tomato powder, autolyzed yeast extract, citric acid, natural flavour, garlic powder, whey protein isolate, extractives of paprika, milk protein concentrate, lactose, buttermilk), corn starch, ancho pepper, toasted onion, roasted garlic, smoked paprika, calcium hydroxide.","Contains wheat, triticale, oats, rye, barley and milk ingredients.",Amount per 50 g serving (14 chips),"- Calories | 260 
- Fat 13 g | 20 %
 -- Saturated 2 g | 10 %
 -- + Trans 0 g 
- Cholesterol 0 mg | 0 %
- Sodium 210 mg | 9 %
- Carbohydrate 31 g | 10 %
 -- Fibre 4 g | 15 %
 -- Sugars 1 g 
- Protein 3 g 
- Vitamin A | 0 %
- Vitamin C | 0 %
- Calcium | 4 %
- Iron | 4 %
","Source of Fibre
Made With 100% Whole Grains 
No Artificial Colours, Flavours or Preservatives
No Cholesterol
",0,1,triangles-multigrain-red-pepper.png
4509,Tostitos® Chips,Tostitos<sup>®</sup> Roasted Garlic & Black Bean Tortilla Chips,https://www.tostitos.ca/products/tostitos®-roasted-garlic-black-bean-tortilla-chips,triangles-garlic-blackbean.png,Triangle,<p>Impress your guests with Tostitos<sup>®</sup> Artisan Recipes&reg; Roasted Garlic &amp; Black Bean chips. Distinctive and delicious because of the premium wholegrain corn and garlic &amp; black bean blend created perfectly for a one-of-a-kind flavour. Amp up your next get together with a distinctive artisan look and taste.</p>,"Whole white corn, vegetable oil, wholegrain blend (whole wheat, whole triticale, whole oats, whole rye, whole barley, whole millet, whole buckwheat, whole brown rice), seasoning (corn maltodextrin, salt, sugar, spices, onion powder, natural flavours, yeast extract, garlic powder), dried black beans, corn starch, dried onion, dried garlic, spice, spice extract, calcium hydroxide.","Contains wheat, triticale, oats, rye and barley ingredients.",Amount per 50 g serving (14 chips),"- Calories | 270 
- Fat 14 g | 21 %
 -- Saturated 2 g | 9 %
 -- + Trans 0 g 
- Cholesterol 0 mg | 0 %
- Sodium 170 mg | 7 %
- Carbohydrate 34 g |11 %
 -- Fibre 4 g |14 %
 -- Sugars 1 g 
- Protein 3 g 
- Vitamin A | 0 %
- Vitamin C | 0 %
- Calcium | 4 %
- Iron | 6 %
","Source of Fibre
Made With 100% Whole Grains 
No Artificial Colours, Flavours or Preservatives
No Cholesterol
",0,1,triangles-garlic-blackbean.png
